ref number,Haul Number:,Year,Month,Day,Location:,new_location,new_sub_location,WDFW sub basins,Puget Sound Region:,Paper record name,Lat:,dec_lat,Long:,dec_long,Boat Name:,Study Name,Sampling type,Other:,Num of Replicates,Depth:,Measurement unit:,Temperature,Salinity,Tide,Comments,Sex:
1,491G,1949,8,24,Georgia Strait,Georgia Strait,,San Juan Island,7,log 1,48° 50.4 ' N,48.8400,122° 49.5' W,122.8250,Oncorhynchus,na,Unknown,box trawl,1,34,Fathoms,0,0,0,,
2,491L,1949,8,25,North end of east sound,East Sound,N end,San Juan Island,7,log 1,48° 46'  NE,48.7667,122° 53.9' W,122.8983,Oncorhynchus,na,Otter trawl,,1,15,Fathoms,0,0,0,,
3,491J,1949,8,24,Bellingham Bay,Bellingham Bay,,Gulf-Bellingham,7,log 1,"48° 41' 30"" N",48.6917,122° 34'  W,122.5667,Oncorhynchus,na,Unknown,box trawl,1,18,Fathoms,0,0,0,,
4,5009B,1950,3,20,Port Townsend,Port Townsend,,Central Puget Sound,9,Log 1,"48° 05' 8"" N",48.0856,"122° 43' 9"" W",122.7192,Oncorhynchus,NA,Bottom trawl,,1,12,Fathoms,0,0,0,Partially Sexed,
5,5033J,1950,6,20,NE Shore of Orcas Island,Orcas Island,NE shore,San Juan Island,7,Log 2,48 42' N,48.7000,122 48' W,122.8000,Oncorhynchus,NA,Otter trawl,,1,30,Fathoms,0,0,0,,None
6,5501D,1955,1,12,Holmes Harbor,Holmes Harbor,,Whidbey Island,8-1,Log 8,"48 4.4""N",48.0733,"122 32.1""W",122.5350,Oncorhynchus,NA,Otter trawl,,1,31,Fathoms,0,0,0,,Some species
7,5130E,1951,8,29,Cape Flattery,Cape Flattery,,Western Strait of Juan de Fuca,6,Log 4,"48 22.50""N",48.3750,"124 52.30""W",124.8717,Oncorhynchus,NA,Unknown,,1,178-180,Fathoms,0,0,0,,None
8,5130F,1951,8,29,Cape Flattery,Cape Flattery,,Western Strait of Juan de Fuca,6,Log 4,"48 22.50""N",48.3750,126 53'W,126.8833,Oncorhynchus,NA,Otter trawl,,1,178-182,Fathoms,0,0,-1,,None
9,5321D,1953,9,2,Ulsaladdy,Utsalady,,Whidbey Island,8-1,Log 7,"48 16.2""",48.2700,"122 30.35""W",122.5058,Oncorhynchus,NA,Otter trawl,,1,11-13,Fathoms,0,0,0,,None
10,5321E,1953,9,2,Ulsaladdy,Utsalady,,Whidbey Island,8-1,Log 7,"48 16.09""N",48.2682,"122 32.08""W",122.5347,Oncorhynchus,NA,Otter trawl,,1,13,Fathoms,0,0,0,,None
11,5321C,1953,9,2,Ulsaladdy,Utsalady,,Whidbey Island,8-1,Log 7,"48 15.48""N",48.2580,"122 31.6""W",122.5267,Oncorhynchus,NA,Otter trawl,,1,13,Fathoms,0,0,0,,None
