"","haul_number","year","month","day","wdfw_region","location_accuracy","had_gps","Sampling_Type","Num_of_Replicates","Depth","Measurement_Unit","Temperature","Salinity","Tide","new_lat","new_lon","location","gear","type","species","count","notes","row_color"
"1","481A",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"2.5-10","Fathoms",0,0,0,NA,NA,"9","otter","vert.","English sole",3,NA,NA
"2","481A",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"2.5-10","Fathoms",0,0,0,NA,NA,"9","otter","invert.","unid. nudibranch",3,NA,NA
"3","481A",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"2.5-10","Fathoms",0,0,0,NA,NA,"9","otter","invert.","Parastichopus californicus",17,NA,NA
"4","481A",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"2.5-10","Fathoms",0,0,0,NA,NA,"9","otter","vert.","C-O sole",1,NA,NA
"5","481A",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"2.5-10","Fathoms",0,0,0,NA,NA,"9","otter","invert.","Cryptochiton stelleri",1,NA,NA
"6","481B",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"9-10","Fathoms",0,0,0,NA,NA,"9","otter","vert.","kelp greenling",2,NA,NA
"7","481B",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"9-10","Fathoms",0,0,0,NA,NA,"9","otter","vert.","rock sole",6,NA,NA
"8","481B",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"9-10","Fathoms",0,0,0,NA,NA,"9","otter","vert.","unid. sanddab",2,NA,NA
"9","481B",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"9-10","Fathoms",0,0,0,NA,NA,"9","otter","invert.","Parastichopus californicus",87,NA,NA
"10","481B",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"9-10","Fathoms",0,0,0,NA,NA,"9","otter","invert.","Pisaster brevispinus",11,NA,NA
"11","481B",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"9-10","Fathoms",0,0,0,NA,NA,"9","otter","invert.","Pycnopodia helianthoides",4,NA,NA
"12","481B",1948,12,28,"Central Sound",0,0,"Otter trawl",1,"9-10","Fathoms",0,0,0,NA,NA,"9","otter","vert.","English sole",2,NA,NA
